punto_clave_id,posicion_x,posicion_y,tamaño,angulo,respuesta,octava
170,268.065185546875,595.3119506835938,1.89767324924469,88.40216064453125,0.03753696009516716,3998207
171,268.065185546875,595.3119506835938,1.89767324924469,250.87356567382812,0.03753696009516716,3998207
172,268.2842712402344,598.685791015625,2.519195795059204,195.07052612304688,0.04264990612864494,7734015
173,268.4366760253906,346.3518981933594,13.905054092407227,130.39089965820312,0.049010563641786575,14353153
174,268.4366760253906,346.3518981933594,13.905054092407227,280.123779296875,0.049010563641786575,14353153
175,517.4581298828125,375.63629150390625,2.907623052597046,14.53997802734375,0.07057027518749237,1442815
176,270.5311279296875,605.367919921875,3.023056983947754,170.79124450683594,0.03843790665268898,4260863
177,270.8877258300781,574.6752319335938,2.651489734649658,19.947021484375,0.042090851813554764,11469567
178,270.8877258300781,574.6752319335938,2.651489734649658,158.01904296875,0.042090851813554764,11469567
179,517.2785034179688,395.84637451171875,2.53592848777771,171.88772583007812,0.06285864114761353,8258303
180,271.0484924316406,126.23042297363281,38.217525482177734,353.6833801269531,0.038908250629901886,3932675
181,271.3189392089844,598.6210327148438,1.8186863660812378,181.56619262695312,0.03592316061258316,918015
182,394.7471008300781,410.8892822265625,4.182107448577881,171.44290161132812,0.049630194902420044,11010304
183,517.2785034179688,395.84637451171875,2.53592848777771,24.039337158203125,0.06285864114761353,8258303
184,515.6973876953125,513.7072143554688,3.3393490314483643,75.08685302734375,0.041175372898578644,11469823
185,515.5408935546875,411.3329772949219,3.862103223800659,23.179901123046875,0.07903211563825607,5243136
186,515.2278442382812,426.2112731933594,2.404453992843628,281.2421875,0.0409461110830307,4391679
187,515.2278442382812,426.2112731933594,2.404453992843628,220.18414306640625,0.0409461110830307,4391679
188,514.38232421875,295.9102783203125,89.68584442138672,81.86428833007812,0.0618046373128891,15467012
189,273.9645690917969,604.8930053710938,2.093757390975952,355.6662902832031,0.05350617319345474,11076095
190,513.9558715820312,430.20318603515625,6.5032243728637695,220.40689086914062,0.039302609860897064,9503488
191,513.9558715820312,430.20318603515625,6.5032243728637695,13.043487548828125,0.039302609860897064,9503488
192,359.1974792480469,339.46337890625,5.125773906707764,183.79278564453125,0.05141788348555565,8978944
193,513.2037963867188,360.9537353515625,1.9524198770523071,197.7445831298828,0.06774407625198364,6029823
194,513.2037963867188,360.9537353515625,1.9524198770523071,22.423431396484375,0.06774407625198364,6029823
195,277.0400695800781,614.9719848632812,2.6759321689605713,251.93682861328125,0.04575662314891815,12124927
196,507.26318359375,170.69442749023438,30.265607833862305,119.12950134277344,0.07281121611595154,3735811
197,507.26318359375,170.69442749023438,30.265607833862305,81.16848754882812,0.07281121611595154,3735811
198,506.8827209472656,387.6142883300781,1.9715999364852905,173.71450805664062,0.0718955397605896,6750719
199,360.5438537597656,393.3612365722656,4.722697734832764,19.207611083984375,0.07264243811368942,3080704
200,506.8827209472656,387.6142883300781,1.9715999364852905,1.963958740234375,0.0718955397605896,6750719
201,506.61590576171875,384.1475524902344,2.261540412902832,359.8858642578125,0.05616888403892517,16646655
202,506.61590576171875,384.1475524902344,2.261540412902832,205.70269775390625,0.05616888403892517,16646655
203,506.61590576171875,384.1475524902344,2.261540412902832,187.78717041015625,0.05616888403892517,16646655
204,279.9981384277344,571.4158935546875,1.8330974578857422,183.4788818359375,0.06142372637987137,1507839
205,431.06182861328125,425.3651428222656,3.664896011352539,222.79678344726562,0.05918997526168823,1442048
206,506.0975036621094,406.3671875,2.561073064804077,184.21603393554688,0.07384123653173447,8979199
207,506.0975036621094,406.3671875,2.561073064804077,20.285980224609375,0.07384123653173447,8979199
208,503.2503356933594,421.84210205078125,2.9787280559539795,29.6982421875,0.054609641432762146,3146751
209,497.3791198730469,395.6768493652344,4.127987384796143,182.3654022216797,0.06781120598316193,10092800
210,497.3791198730469,395.6768493652344,4.127987384796143,18.49639892578125,0.06781120598316193,10092800
211,497.25177001953125,378.9047546386719,2.492102861404419,177.4382781982422,0.06435581296682358,7013119
212,497.25177001953125,378.9047546386719,2.492102861404419,25.21820068359375,0.06435581296682358,7013119
