punto_clave_id,posicion_x,posicion_y,tamaño,angulo,respuesta,octava
33,486.0,391.0,31.0,309.0613708496094,0.0008573603699915111,0
34,473.0,402.0,31.0,269.44415283203125,0.000988960382528603,0
35,429.0,357.0,31.0,290.4432067871094,0.0008830261649563909,0
36,488.0,372.0,31.0,297.7613830566406,0.0010644225403666496,0
37,372.0,402.0,31.0,117.75052642822266,0.0014645422343164682,0
38,426.0,379.0,31.0,343.3223876953125,0.001329946331679821,0
39,515.0,409.0,31.0,141.04226684570312,0.0013823759509250522,0
40,442.0,438.0,31.0,85.42952728271484,0.0012954764533787966,0
41,401.0,373.0,31.0,312.605224609375,0.0011703262571245432,0
42,547.0,427.0,31.0,24.403364181518555,0.0008978553814813495,0
43,533.0,429.0,31.0,81.77149200439453,0.0010086962720379233,0
44,562.0,465.0,31.0,241.93540954589844,0.0009313723421655595,0
45,403.0,373.0,31.0,235.05580139160156,0.0009925039485096931,0
46,436.0,405.0,31.0,91.23606872558594,0.0017274224665015936,0
47,525.0,421.0,31.0,57.303871154785156,0.0012607272947207093,0
48,464.0,393.0,31.0,259.7352600097656,0.001028520055115223,0
49,344.0,402.0,31.0,254.57281494140625,0.002338317921385169,0
50,401.0,726.0,31.0,268.6997985839844,0.001377028413116932,0
51,444.0,736.0,31.0,308.9652099609375,0.002571411430835724,0
52,280.0,571.0,31.0,230.20225524902344,0.0011954258661717176,0
53,424.0,400.0,31.0,265.1839294433594,0.0012823607539758086,0
54,408.0,405.0,31.0,11.37654972076416,0.0016318300040438771,0
55,410.0,517.0,31.0,115.4728775024414,0.0009540814207866788,0
56,496.0,400.0,31.0,281.7083435058594,0.0008714337600395083,0
57,440.0,435.0,31.0,62.81110382080078,0.0019029306713491678,0
58,494.0,417.0,31.0,42.531898498535156,0.0014281431213021278,0
59,321.0,411.0,31.0,125.4603271484375,0.0014453788753598928,0
60,435.0,411.0,31.0,281.5401611328125,0.0024502957239747047,0
61,452.0,382.0,31.0,303.2960205078125,0.0016738984268158674,0
62,416.0,366.0,31.0,266.4941711425781,0.0012235901085659862,0
63,414.0,386.0,31.0,191.42835998535156,0.0013979156501591206,0
64,415.0,728.0,31.0,250.481201171875,0.0016486054519191384,0
65,436.0,734.0,31.0,286.20404052734375,0.0034020484890788794,0
66,401.0,517.0,31.0,99.40557098388672,0.00106348458211869,0
67,484.0,410.0,31.0,301.6090087890625,0.0012384328292682767,0
68,373.0,389.0,31.0,283.3316650390625,0.001483603031374514,0
69,411.0,401.0,31.0,96.22950744628906,0.0009919374715536833,0
70,514.0,414.0,31.0,298.73468017578125,0.001496638753451407,0
71,496.0,412.0,31.0,80.18133544921875,0.0021523672621697187,0
72,437.0,392.0,31.0,288.314208984375,0.0010425483342260122,0
73,441.0,370.0,31.0,330.1872863769531,0.002225656295195222,0
74,244.0,600.0,31.0,43.511722564697266,0.0013216384686529636,0
75,424.0,377.0,31.0,7.673454284667969,0.0008550642523914576,0
76,479.0,379.0,31.0,251.0039825439453,0.0009923349134624004,0
77,370.0,493.0,31.0,13.75393009185791,0.0011308680986985564,0
78,237.0,604.0,31.0,60.50577926635742,0.0018007968319579959,0
79,423.0,730.0,31.0,259.4449462890625,0.0015673759626224637,0
80,395.0,725.0,31.0,290.70989990234375,0.0012725964188575745,0
81,385.0,724.0,31.0,297.69134521484375,0.0008983833831734955,0
82,233.0,605.0,31.0,143.77679443359375,0.0010434456635266542,0
83,245.0,595.0,31.0,336.4400634765625,0.001994845224544406,0
84,493.0,414.0,31.0,114.62591552734375,0.0011674477718770504,0
85,391.0,360.0,31.0,228.24313354492188,0.0008426081039942801,0
86,452.0,396.0,31.0,122.76535034179688,0.0008047322044149041,0
87,330.0,380.0,31.0,233.2429656982422,0.0008136063697747886,0
88,496.0,380.0,31.0,290.10919189453125,0.0007065109093673527,0
89,362.0,390.0,31.0,134.08209228515625,0.0007001386256888509,0
90,233.0,596.0,31.0,198.07247924804688,0.0007679188856855035,0
91,534.0,413.0,31.0,342.322998046875,0.0007536776247434318,0
92,342.0,372.0,31.0,247.61663818359375,0.0007152749458327889,0
93,459.0,412.0,31.0,353.9761657714844,0.0007180238026194274,0
94,428.0,370.0,31.0,98.2103500366211,0.0008107140311039984,0
