epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,16137.9,0.83643,0.53035,1.0564,0.89535,0.69912,0.75737,0.41176,1.47944,0.94132,1.4172,0.0003962,0.0003962,0.0003962
83,16331.5,0.80798,0.5094,1.0548,0.90759,0.72566,0.78699,0.41654,1.46316,0.95638,1.41034,0.0003764,0.0003764,0.0003764
84,16524.8,0.81117,0.51539,1.0471,0.91411,0.74336,0.79584,0.42743,1.48488,0.9052,1.41616,0.0003566,0.0003566,0.0003566
85,16725.7,0.80375,0.5139,1.05717,0.93216,0.72962,0.81509,0.42926,1.47789,0.87819,1.41714,0.0003368,0.0003368,0.0003368
86,16921.1,0.82065,0.52614,1.05144,0.91246,0.73798,0.80802,0.42852,1.48637,0.86885,1.43745,0.000317,0.000317,0.000317
87,17115.6,0.78889,0.49888,1.04035,0.88828,0.77876,0.81078,0.43829,1.4443,0.87042,1.42652,0.0002972,0.0002972,0.0002972
88,17320,0.77982,0.50119,1.02089,0.90074,0.74336,0.80505,0.43996,1.46389,0.85483,1.4325,0.0002774,0.0002774,0.0002774
89,17512.8,0.76183,0.49027,1.032,0.92508,0.71681,0.80815,0.43665,1.45951,0.86607,1.4392,0.0002576,0.0002576,0.0002576
90,17706.6,0.7615,0.49822,1.02786,0.92151,0.72732,0.80176,0.42427,1.51334,0.90993,1.4652,0.0002378,0.0002378,0.0002378
91,17907.1,0.68862,0.41841,0.97919,0.9033,0.74399,0.80647,0.43943,1.46983,0.89862,1.44624,0.000218,0.000218,0.000218
92,18098.7,0.67438,0.40617,0.97568,0.87766,0.76181,0.81317,0.43005,1.51243,0.92919,1.45752,0.0001982,0.0001982,0.0001982
93,18291.5,0.68807,0.41138,0.96816,0.86673,0.76106,0.80367,0.44006,1.47633,0.90552,1.44267,0.0001784,0.0001784,0.0001784
94,18486.6,0.64955,0.38715,0.97197,0.83404,0.75609,0.79972,0.43782,1.4575,0.89543,1.42636,0.0001586,0.0001586,0.0001586
95,18679.4,0.66165,0.39097,0.97076,0.84696,0.75221,0.80397,0.43414,1.4853,0.91192,1.43903,0.0001388,0.0001388,0.0001388
96,18872,0.65789,0.37928,0.97069,0.90964,0.7127,0.80351,0.44008,1.51984,0.93555,1.45379,0.000119,0.000119,0.000119
97,19068,0.64661,0.37719,0.95787,0.92482,0.70796,0.80279,0.44053,1.49456,0.93068,1.44216,9.92e-05,9.92e-05,9.92e-05
98,19261.7,0.62754,0.36609,0.95417,0.88954,0.73451,0.79734,0.42591,1.51353,0.9199,1.44461,7.94e-05,7.94e-05,7.94e-05
